Customer ID,Age,Gender,Income,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,NumWebVisitsMonth,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,58138,Blouse,Clothing,53,Kentucky,L,Gray,Winter,7,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,Male,46344,Sweater,Clothing,64,Maine,L,Maroon,Winter,5,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,71613,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,4,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Male,26646,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,6,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,Male,58293,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,5,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,Male,62513,Sneakers,Footwear,20,Wyoming,M,White,Summer,6,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,63,Male,55635,Shirt,Clothing,85,Montana,M,Gray,Fall,6,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Male,33454,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,8,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Male,30351,Coat,Outerwear,97,West Virginia,L,Silver,Summer,9,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,57,Male,5648,Handbag,Accessories,31,Missouri,M,Pink,Spring,20,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Male,6578,Shoes,Footwear,34,Arkansas,L,Purple,Fall,7,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,7500,Shorts,Clothing,68,Hawaii,S,Olive,Winter,8,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,63033,Coat,Outerwear,72,Delaware,M,Gold,Winter,2,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Male,59354,Dress,Clothing,51,New Hampshire,M,Violet,Spring,6,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,64,Male,17323,Coat,Outerwear,53,New York,L,Teal,Winter,8,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Male,82800,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,3,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,Male,41850,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,8,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Male,37760,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,7,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,Male,76995,Sweater,Clothing,48,Montana,S,Black,Summer,5,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Male,33812,Pants,Clothing,90,Rhode Island,M,Green,Summer,6,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Male,37040,Pants,Clothing,51,Louisiana,M,Black,Winter,8,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,2447,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,1,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Male,58607,Pants,Clothing,37,California,M,Peach,Summer,8,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,Male,65324,Pants,Clothing,88,Oklahoma,XL,White,Winter,4,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Male,40689,Jacket,Outerwear,22,Florida,M,Green,Fall,8,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,Male,18589,Hoodie,Clothing,25,Texas,M,Silver,Summer,7,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,38,Male,53359,Jewelry,Accessories,20,Nevada,M,Red,Spring,7,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Male,12345,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,1,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,38360,Handbag,Accessories,94,North Carolina,M,Gray,Fall,3,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,Male,84618,Dress,Clothing,48,Wyoming,S,Black,Fall,2,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,10979,Jewelry,Accessories,31,North Carolina,L,Black,Winter,5,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,38620,Dress,Clothing,79,West Virginia,L,Brown,Winter,3,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Male,40548,Jacket,Outerwear,67,Kansas,M,Silver,Summer,5,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Male,46610,Pants,Clothing,38,Colorado,L,Green,Summer,6,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
